BADANIE;00:10:47;;
metoda:;branch and bound;;
konfiguracja:;branches=3         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt,g/gr14.txt,g/gr15.txt,g/gr16.txt,g/gr17.txt,g/gr18.txt,g/gr19.txt,g/gr20.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;
;;;
5;0;146;5 3 6 1 2 0 4 5
6;1;146;0 4 5 3 6 1 2 0
7;0;146;5 3 6 1 2 0 4 5
8;0;146;5 3 6 1 2 0 4 5
9;0;146;5 3 6 1 2 0 4 5
10;1;146;1 2 0 4 5 3 6 1
11;1;146;0 4 5 3 6 1 2 0
12;0;146;3 6 1 2 0 4 5 3
13;0;146;5 3 6 1 2 0 4 5
14;0;146;2 0 4 5 3 6 1 2
15;0;146;3 6 1 2 0 4 5 3
sredni czas [ms];;;
0;;;
;;;
;;;
plik:;g/gr8.txt;;
wynik optymalny:;162;;
liczba wierzcholkow:;8;;
iteracja;czas [ms];wynik;sciezka
1;3;162;1 2 7 6 4 5 3 0 1
2;1;162;0 1 2 7 6 4 5 3 0
3;1;162;7 6 4 5 3 0 1 2 7
4;1;162;0 1 2 7 6 4 5 3 0
5;1;162;4 5 3 0 1 2 7 6 4
6;1;162;7 6 4 5 3 0 1 2 7
7;0;162;2 7 6 4 5 3 0 1 2
8;1;162;1 2 7 6 4 5 3 0 1
9;0;162;5 3 0 1 2 7 6 4 5
10;1;162;1 2 7 6 4 5 3 0 1
11;1;162;0 1 2 7 6 4 5 3 0
12;1;162;1 2 7 6 4 5 3 0 1
13;1;162;1 2 7 6 4 5 3 0 1
14;1;162;6 4 5 3 0 1 2 7 6
15;1;162;4 5 3 0 1 2 7 6 4
sredni czas [ms];;;
1;;;
;;;
;;;
plik:;g/gr9.txt;;
wynik optymalny:;193;;
liczba wierzcholkow:;9;;
iteracja;czas [ms];wynik;sciezka
1;3;193;4 3 0 1 2 7 8 5 6 4
2;3;193;6 4 3 0 1 2 7 8 5 6
3;2;193;7 8 5 6 4 3 0 1 2 7
4;2;193;3 0 1 2 7 8 5 6 4 3
5;3;193;1 2 7 8 5 6 4 3 0 1
6;3;193;5 6 4 3 0 1 2 7 8 5
7;3;193;6 4 3 0 1 2 7 8 5 6
8;3;193;0 1 2 7 8 5 6 4 3 0
9;3;193;6 4 3 0 1 2 7 8 5 6
10;2;193;3 0 1 2 7 8 5 6 4 3
11;3;193;6 4 3 0 1 2 7 8 5 6
12;3;193;4 3 0 1 2 7 8 5 6 4
13;2;193;3 0 1 2 7 8 5 6 4 3
14;3;193;8 5 6 4 3 0 1 2 7 8
15;2;193;3 0 1 2 7 8 5 6 4 3
sredni czas [ms];;;
2;;;
;;;
;;;
plik:;g/gr10.txt;;
wynik optymalny:;209;;
liczba wierzcholkow:;10;;
iteracja;czas [ms];wynik;sciezka
1;8;209;5 3 6 7 8 2 0 1 9 4 5
2;8;209;5 3 6 7 8 2 0 1 9 4 5
3;7;209;8 2 0 1 9 4 5 3 6 7 8
4;6;209;7 8 2 0 1 9 4 5 3 6 7
5;4;209;1 9 4 5 3 6 7 8 2 0 1
